step,node,omega_dimless,phi,spin,omega_obs_Hz,phi_obs_rad
3450,1,-0.00004687,6.282462015573,1,-1.450068e+23,-0.000723291607
3450,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3450,3,0.00004687,4.189513496393,1,-1.449932e+23,-2.093671810787
3500,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3500,1,-0.00004691,6.282462828316,1,-1.450068e+23,-0.000722478863
3500,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3500,3,0.00004691,4.189512683650,1,-1.449932e+23,-2.093672623530
3550,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3550,1,-0.00004695,6.282463640147,1,-1.450068e+23,-0.000721667033
3550,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3550,3,0.00004695,4.189511871819,1,-1.449932e+23,-2.093673435361
3600,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3600,1,-0.00004699,6.282464451066,1,-1.450068e+23,-0.000720856114
3600,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3600,3,0.00004699,4.189511060900,1,-1.449932e+23,-2.093674246279
3650,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3650,1,-0.00004703,6.282465261074,1,-1.450068e+23,-0.000720046105
3650,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3650,3,0.00004703,4.189510250892,1,-1.449932e+23,-2.093675056288
3700,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3700,1,-0.00004706,6.282466070173,1,-1.450068e+23,-0.000719237007
3700,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3700,3,0.00004706,4.189509441793,1,-1.449932e+23,-2.093675865386
3750,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3750,1,-0.00004710,6.282466878363,1,-1.450068e+23,-0.000718428817
3750,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3750,3,0.00004710,4.189508633603,1,-1.449932e+23,-2.093676673576
3800,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3800,1,-0.00004714,6.282467685645,1,-1.450068e+23,-0.000717621534
3800,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3800,3,0.00004714,4.189507826321,1,-1.449932e+23,-2.093677480859
3850,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
3850,1,-0.00004718,6.282468492021,1,-1.450068e+23,-0.000716815158
3850,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
3850,3,0.00004718,4.189507019945,1,-1.449932e+23,-2.093678287235
3900,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
