i,curv
1642,35.0
1643,135.0
1644,0.0
1645,38.0
1646,1631.0
1647,4212.0
1648,1912.0
1649,4675.0
1650,938.0
1651,2714.0
1652,26.0
1653,857.0
1654,3618.0
1655,227.0
1656,4.0
1657,161.0
1658,452.0
1659,1676.0
1660,8.0
1661,770.0
1662,326.0
1663,109.0
1664,376.0
1665,735.0
1666,2739.0
1667,3153.0
1668,42.0
1669,660.0
1670,108.0
1671,6.0
1672,5.0
1673,842.0
1674,0.0
1675,0.0
1676,333.0
1677,859.0
1678,3601.0
1679,4760.0
1680,2.0
1681,464.0
1682,69.0
1683,1843.0
1684,4733.0
1685,755.0
1686,75.0
1687,533.0
1688,1862.0
1689,6.0
1690,3517.0
1691,1072.0
1692,830.0
1693,3406.0
1694,1516.0
1695,105.0
1696,461.0
1697,0.0
1698,39.0
1699,1674.0
1700,4055.0
1701,302.0
1702,1909.0
1703,368.0
1704,2592.0
1705,1667.0
1706,52.0
1707,144.0
1708,820.0
1709,0.0
1710,289.0
1711,2903.0
1712,57.0
1713,3665.0
1714,2777.0
1715,2102.0
1716,1715.0
1717,261.0
1718,26.0
1719,197.0
1720,116.0
1721,13.0
1722,105.0
1723,1263.0
1724,313.0
1725,140.0
1726,686.0
1727,391.0
1728,295.0
1729,600.0
1730,1421.0
1731,0.0
1732,1.0
1733,1895.0
1734,587.0
1735,3027.0
1736,1558.0
1737,256.0
1738,331.0
1739,2.0
1740,1674.0
1741,1685.0
1742,16.0
1743,1138.0
1744,305.0
1745,940.0
1746,462.0
1747,114.0
1748,41.0
1749,3650.0
1750,0.0
1751,0.0
1752,293.0
1753,60.0
1754,2015.0
1755,384.0
1756,4.0
1757,155.0
1758,419.0
1759,4771.0
1760,0.0
1761,37.0
1762,560.0
1763,893.0
1764,80.0
1765,574.0
1766,934.0
1767,115.0
1768,1717.0
1769,410.0
1770,410.0
1771,5.0
1772,2733.0
1773,2094.0
1774,85.0
1775,149.0
1776,556.0
1777,2817.0
1778,816.0
1779,2966.0
1780,2442.0
1781,556.0
1782,369.0
1783,647.0
1784,263.0
1785,461.0
1786,3936.0
1787,164.0
1788,567.0
1789,3.0
1790,9.0
1791,336.0
1792,860.0
1793,1903.0
1794,371.0
1795,399.0
1796,1448.0
1797,4839.0
1798,249.0
1799,746.0
1800,1837.0
1801,38.0
1802,2690.0
1803,129.0
1804,452.0
1805,4605.0
1806,5182.0
1807,4743.0
1808,0.0
1809,536.0
1810,0.0
1811,716.0
1812,3726.0
1813,1184.0
1814,74.0
1815,691.0
1816,2122.0
1817,2665.0
1818,2820.0
1819,36.0
1820,1931.0
1821,2019.0
1822,251.0
1823,1763.0
1824,67.0
1825,34.0
1826,2029.0
1827,2330.0
1828,84.0
1829,4648.0
1830,18.0
1831,120.0
1832,219.0
1833,126.0
1834,146.0
1835,159.0
1836,1323.0
1837,1645.0
1838,2854.0
1839,2466.0
1840,213.0
1841,29.0
1842,197.0
1843,0.0
1844,155.0
1845,1324.0
1846,331.0
1847,258.0
1848,838.0
1849,2.0
1850,58.0
1851,0.0
1852,304.0
1853,0.0
1854,3993.0
1855,1522.0
1856,1346.0
1857,81.0
1858,234.0
1859,889.0
1860,57.0
1861,0.0
1862,1518.0
1863,49.0
1864,2324.0
1865,86.0
1866,363.0
1867,1101.0
1868,2008.0
1869,143.0
1870,1557.0
1871,126.0
1872,1822.0
1873,148.0
1874,506.0
1875,2843.0
1876,19.0
1877,0.0
1878,442.0
1879,110.0
1880,3948.0
1881,702.0
1882,207.0
1883,412.0
1884,1533.0
1885,1459.0
1886,1066.0
1887,2041.0
1888,4124.0
1889,2003.0
1890,539.0
1891,407.0
1892,178.0
1893,131.0
1894,1889.0
1895,2566.0
1896,23.0
1897,2236.0
1898,2437.0
1899,1641.0
1900,1.0
1901,1166.0
1902,63.0
1903,2148.0
1904,824.0
1905,763.0
1906,974.0
1907,622.0
1908,657.0
1909,8.0
1910,2227.0
1911,294.0
1912,1094.0
1913,0.0
1914,120.0
1915,46.0
1916,99.0
1917,2214.0
1918,1.0
1919,160.0
1920,4039.0
1921,760.0
1922,1381.0
1923,794.0
1924,2258.0
1925,212.0
1926,512.0
1927,2.0
1928,121.0
1929,852.0
1930,43.0
1931,79.0
1932,1064.0
1933,221.0
1934,124.0
1935,1696.0
1936,1888.0
1937,1142.0
1938,156.0
1939,240.0
1940,2160.0
1941,2739.0
1942,3209.0
1943,2582.0
1944,1005.0
1945,0.0
1946,1047.0
1947,794.0
1948,50.0
1949,813.0
1950,1229.0
1951,19.0
1952,267.0
1953,1.0
1954,308.0
1955,449.0
1956,2214.0
1957,1912.0
1958,1.0
1959,1282.0
1960,2240.0
1961,2750.0
1962,1260.0
1963,1093.0
1964,2572.0
1965,701.0
1966,105.0
1967,3713.0
1968,3762.0
1969,252.0
1970,760.0
1971,107.0
1972,3462.0
1973,4209.0
1974,1976.0
1975,258.0
1976,501.0
1977,426.0
1978,123.0
1979,2931.0
1980,163.0
1981,496.0
1982,13.0
1983,490.0
1984,2141.0
1985,4735.0
1986,994.0
1987,2391.0
1988,3322.0
1989,531.0
1990,519.0
1991,2595.0
1992,671.0
1993,0.0
1994,83.0
1995,0.0
1996,35.0
1997,496.0
1998,853.0
1999,1355.0
2000,48.0
2001,221.0
2002,0.0
2003,3285.0
2004,3448.0
2005,3550.0
2006,602.0
2007,406.0
2008,3368.0
2009,153.0
2010,1856.0
2011,3664.0
2012,3393.0
2013,4356.0
2014,2135.0
2015,973.0
2016,1776.0
2017,4945.0
2018,2341.0
2019,0.0
2020,391.0
2021,98.0
2022,943.0
2023,576.0
2024,167.0
2025,5175.0
2026,0.0
2027,166.0
